conm,gvkey,datafqtr,bkvq,atq,ltq,cstkq,sic,saleq,isin,sedol,dup
WIZARD WORLD INC,186553,2018Q1,-3.2320001,2.7980001,6.0300002,.0070000002,7389,3.9909999,US97751C1009,,0
APOLLO SENIOR FLOATING RT FD,186556,2018Q1,,,,,6726,,US0376361079,,0
NUVEEN ENERGY MLP TOTAL RET,186557,2018Q1,,,,,6726,,US67074U1034,,0
CARBON ENERGY CORP,186558,2018Q1,48.032997,125.235,77.202003,.075999998,1311,6.473,US14110Q1004,,0
PURPOSE DVRSIFIED REAL ASSET,18656,2018Q1,,,,,6722,,US74639Y4061,,0
SPDR S&P EMERG MKTS DIV ETF,186573,2018Q1,,,,,6722,,US78463X5335,,0
SPDR BLMBRG BRCLYS EM MKT BD,186574,2018Q1,,,,,6722,,US78464A3914,,0
MACROGENICS INC,18658,2018Q1,247.276,326.078,78.802002,.37,2836,4.6950002,US5560991094,,0
SOLAR SENIOR CAPITAL LTD,186591,2018Q1,270.03702,542.56201,272.52499,.16,6797,9.3409996,US83416M1053,,0
EP ENERGY CORP,18660,2018Q1,410,4989,4579,3,1311,286,US2687851020,,0
NEWLINK GENETICS CORP,186607,2018Q1,137.95401,165.037,27.083,.373,2836,9.8999996,US6515111077,,0
ISHARES SH DUR HI INCOME ETF,186616,2018Q1,,,,,6722,,US46430G4047,,0
CONSUMER CAPITAL GROUP INC,186617,2018Q1,-4.5839996,1.727,6.3109999,.003,6141,.003,US21050C1080,,0
INVESCO SENIOR LOAN,186622,2018Q1,,,,,6722,,US46138G5080,,0
GLOBAL X MSCI ARGENTINA ETF,186623,2018Q1,,,,,6722,,US37950E2596,,0
TRANSENTERIX INC,18666,2018Q1,64.171005,246.175,58.817001,.20100001,3841,4.7670002,US89366M2017,,0
CASTLE PEAK MINING LTD,186664,2018Q1,3.7619998,4.0149999,.25299999,17.604,1040,0,US14846A1060,,0
AG MORTGAGE INVESTMENT TRUST,186671,2018Q1,675.07996,3697.084,2991.2581,.28200001,6798,30.257999,US0012281053,,0
RLJ ENTERTAINMENT INC,186675,2018Q1,-10.756014,147.76199,136.91901,.015,7822,18.582001,US74965F2039,,0
WISDOMTREE ASIA LOCAL DEBT,186708,2018Q1,,,,,6722,,US97717X8424,,0
PURPOSE MONTHLY INCOME FUND,18671,2018Q1,,,,,6722,,US74639Y3071,,0
CORSA COAL CORP,18672,2018Q1,145.856,300.776,154.92,180.00101,1220,80.447998,US22041E6095,,0
STANDARD METALS PROCESSING,186721,2018Q1,-6.2690001,3.908,10.177,.122,1040,0,US8536161008,,0
HORIZONS ENH INCM EQUITY ETF,186722,2018Q1,,,,,6722,,US44049V1026,,0
BLACK BULL RESOURCES INC,186725,2018Q1,-.36000001,.32800001,.68800002,23.589001,1400,0,US0919302069,,0
PURPOSE GLOBAL FINANC INC FD,186737,2018Q1,,,,,6726,,US74641P1049,,0
INDEXIQ GBL AGRIBUSINESS SML,186741,2018Q1,,,,,6722,,US45409B8349,,0
PROSHARES SHORT HIGH YIELD,186742,2018Q1,,,,,6722,,US74347R1317,,0
INTERCLOUD SYSTEMS INC,186748,2018Q1,-29.976999,12.786,41.508999,.0020000001,7370,4.7649999,US4584884005,,0
DIREXION DAILY 7-10 TRSY BR,186749,2018Q1,,,,,6722,,US25459Y1082,,0
BURLINGTON STORES INC,18675,2018Q1,-357.39801,2825.446,2714.175,.0070000002,5600,1524.708,US1220171060,,0
DIREXION DLY 20 YR TRS BR 1X,186750,2018Q1,,,,,6722,,US25459Y4052,,0
DIREXION DLY TOTAL BD MKT BR,186751,2018Q1,,,,,6722,,US25459Y3062,,0
PATTERN ENERGY GROUP INC,18677,2018Q1,1998.515,5421.6421,3126.873,.98299998,4991,105.859,US70338P1003,,0
MAPLE LEAF GREEN WORLD INC,186772,2018Q1,7.6209998,9.1719999,1.551,20.225,800,0,US5652971087,,0
SUNCOKE ENERGY INC,186773,2018Q1,417.5,2080,1420.5,.69999999,3312,350.5,US86722A1034,,0
SILVER PREDATOR CORP,186778,2018Q1,1.785,2.1719999,.38699999,32.529999,1044,0,US82808Q2030,,0
SURNA INC,186779,2018Q1,.19200003,3.1600001,2.299,.0020000001,3585,2.0550001,US86887P1012,,0
VEREIT INC,186783,2018Q1,6538.7319,14451.789,6575.2842,9.6809998,6798,323.57501,US92339V1008,,0
ARCOS DORADOS HOLDINGS INC,186785,2018Q1,418.44998,1668.939,1204.792,509.647,5812,849.88702,USG0457F1078,,0
BLACK IRON INC,186793,2018Q1,5.6029997,6.0139999,.41100001,86.959999,1000,0,US09214V1044,,0
NEXOPTIC TECHNOLOGY CORP,186796,2018Q1,6.5470023,60.326,.22,69.862999,3670,0,US65341P1057,,0
BLACKROCK RESOURCES & CMD ST,186817,2018Q1,,,,,6726,,US09257A1088,,0
STEEL PARTNERS HOLDINGS LP,186823,2018Q1,162.28397,2220.501,1661.926,,9997,366.245,US85814R1077,,0
ISHARES MSCI CHINA ETF,186825,2018Q1,,,,,6722,,US46429B6719,,0
ISHARES CORE HI DIVIDEND ETF,186826,2018Q1,,,,,6722,,US46429B6636,,0
SCIENCE APPLICATIONS INTL CP,18683,2018Q1,-712,2061,1736,0,7373,1175,US8086251076,,0
GOLAR LNG PARTNERS LP,186836,2018Q1,753.92499,2308.896,1484.974,,4400,74.213997,USY2745C1028,,0
NEW PEOPLES BANKSHARES INC,186838,2018Q1,50.231995,671.57001,621.33801,47.844002,6020,8.7159996,US64801P1012,,0
AURORA SPINE CORP,18684,2018Q1,1.9609998,5.9879999,3.766,20.423,3841,1.503,US05206X1081,,0
PROSHARES SHORT 7-10 YR TRES,186843,2018Q1,,,,,6722,,US74348A6082,,0
AMERICAN MIDSTREAM PRT -OLD,186845,2018Q1,253.966,1933.262,1469.684,,4922,205.82899,US02799D9385,,0
AMERICANN INC,18685,2018Q1,2.5599999,5.539,2.97,.0020000001,8700,0,US0305881072,,0
ARAMARK,186858,2018Q1,-4422.3608,12526.822,9794.5391,2.7820001,5812,3965.1179,US03852U1060,,0
MTGE INVESTMENT CORP,186874,2018Q1,954.75616,5857.8081,4897.2119,.458,6798,-29.853001,US55378A1051,,0
21VIANET GROUP INC,186876,2018Q1,579.86792,1574.751,750.22302,.0070000002,7370,127.661,US90138A1034,,0
HORIZONS US DLR CURRENCY ETF,186883,2018Q1,,,,,6722,,US44049C4015,,0
SPDR BLMBRG BRCLYS ISSR SCRD,186886,2018Q1,,,,,6722,,US78464A1447,,0
VEEVA SYSTEMS INC,18689,2018Q1,848.98901,1317.655,343.21799,.001,7370,195.547,US9224751084,,0
JOHN MARSHALL BANCORP INC,186890,2018Q1,131.62695,1232.2889,1100.662,.12800001,6020,13.615,US47805L1017,,0
PENNANTPARK FLOATING RT CAP,186893,2018Q1,537.41998,881.84497,344.42499,.039000001,6797,14.836,US70806A1060,,0
LIBERTY GOLD COR,186896,2018Q1,43.667999,45.75,2.082,224.33,1040,0,US53056H1041,,0
ANFIELD ENERGY INC,186901,2018Q1,-11.168,10.606,21.774,33.310001,1090,0,US03464C1062,,0
INSPIRED BUILDERS INC,186902,2018Q1,-.086000003,0,.086000003,.101,9995,0,US45780A2078,,0
SHARPSPRING INC,186903,2018Q1,7.0019989,28.643999,10.548,.0080000004,7370,4.1849999,US8200541048,,0
HORIZONS ENH INCM GOLD PRDCR,186906,2018Q1,,,,,6722,,US44049Q2021,,0
HORIZONS ENH INCM ENERGY ETF,186907,2018Q1,,,,,6722,,US44049X3061,,0
CONDOR PETROLEUM INC,186908,2018Q1,55.838005,75.856003,20.018,271.68799,1311,4.494,US20676X3061,,0
CB FINANCIAL SERVICES INC,18695,2018Q1,84.315033,965.83801,873.41998,1.818,6020,10.372,US12479G1013,,0
INSPIREMD INC,186953,2018Q1,2.823,7.2849998,4.4619999,0,3845,1.007,US45779A8615,,0
ELLIE MAE INC,186955,2018Q1,538.43201,840.24298,82.963997,.003,7372,117.912,US28849P1003,,0
AVESORO RESOURCES INC,186956,2018Q1,180.81801,444.983,261.896,455.89401,1040,117.785,US05366A3023,,0
CHEFS' WAREHOUSE INC,186960,2018Q1,-69.834991,681.24103,432.65302,.287,5140,318.61499,US1630861011,,0
SEQUANS COMMUNICATIONS  -ADR,186962,2018Q1,6.579999,65.987,49.297001,2.3840001,3674,11.234,US8173231080,,0
VANECK VECTORS RUSSIA SMLCAP,186966,2018Q1,,,,,6722,,US92189F7345,,0
SPDR NUVEEN S&P HI YLD MUNI,186967,2018Q1,,,,,6722,,US78464A2841,,0
PROSHARES ULTRA HIGH YIELD,186968,2018Q1,,,,,6722,,US74348A7072,,0
NAMIBIA CRITICAL METALS INC,186970,2018Q1,26.052,26.320999,.26899999,40.278999,1090,0,US62988F1021,,0
CELLECTAR BIOSCIENCES INC,186974,2018Q1,5.777,9.5609999,2.109,0,2836,0,US15117F5008,,0
MARATHON PETROLEUM CORP,186989,2018Q1,16277,50364,30501,7,2911,18866,US56585A1025,,0
PTC INC,18699,2018Q1,-538.88916,2305.9419,1416.843,1.161,7372,306.64401,US69370C1009,,0
FIRSTHAND TECHNOLOGY VALU FD,186990,2018Q1,179.563,184.558,4.9949999,.0070000002,6797,.59799999,US33766Y1001,,0
GSV CAPITAL CORP,186993,2018Q1,210.48801,403.04501,192.55701,.211,6797,.25,US36191J1016,,0
CT REAL ESTATE INVESTMENT TR,18700,2018Q1,2895.7693,5555.3242,2659.5549,884.81201,6798,116.666,US1264621004,,0
FIRST TR MID CAP VAL ALPHDEX,187001,2018Q1,,,,,6722,,US33737M2017,,0
FIRST TR MID CAP GR ALPHADEX,187002,2018Q1,,,,,6722,,US33737M1027,,0
FIRST TR SM CAP VAL ALPHADEX,187003,2018Q1,,,,,6722,,US33737M4096,,0
FIRST TR SM CAP GR ALPHADEX,187004,2018Q1,,,,,6722,,US33737M3007,,0
FIRST TR DEV MKT EX ALPHADEX,187005,2018Q1,,,,,6722,,US33737J1741,,0
FIRST TR EM MKTS ALPHADEX,187007,2018Q1,,,,,6722,,US33737J1824,,0
FIRST TR EUROPE ALPHADEX,187011,2018Q1,,,,,6722,,US33737J1170,,0
FIRST TR LATIN AMER ALPHADEX,187013,2018Q1,,,,,6722,,US33737J1253,,0
FIRST TR ASIA PAC EX ALPHDEX,187014,2018Q1,,,,,6722,,US33737J1097,,0
FIRST TR BRAZIL ALPHADEX FD,187015,2018Q1,,,,,6722,,US33737J1337,,0
FIRST TR CHINA ALPHADEX FD,187016,2018Q1,,,,,6722,,US33737J1410,,0
FIRST TR S KOREA ALPHADEX,187017,2018Q1,,,,,6722,,US33737J1667,,0
FIRST TR JAPAN ALPHADEX FD,187018,2018Q1,,,,,6722,,US33737J1584,,0
ISHARES JPM USD EMR MKTS BD,187019,2018Q1,,,,,6722,,US46432A1088,,0
ISHARES S&P GLB HLTHCR ETF,187020,2018Q1,,,,,6722,,US46431R1023,,0
ISHARES S&P/TSX CAP UTIL IDX,187021,2018Q1,,,,,6722,,US46431M1036,,0
ISHARES S&P/TSX CNSMR STAPLE,187022,2018Q1,,,,,6722,,US46431P1066,,0
ISHARES S&P/TSX COMP HI DVD,187023,2018Q1,,,,,6722,,US46431L1136,,0
ISHARES S&P/TSX GLBL BS MTLS,187024,2018Q1,,,,,6722,,US46431T1088,,0
ZILLOW GROUP INC,187039,2018Q1,529.44586,3344.137,575.69598,.02,7370,299.879,US98954M2008,,0
FRANCESCAS HOLDINGS CORP,187041,2018Q1,109.56699,186.644,77.077003,.47099999,5621,100.405,US3517931040,,0
NORTHERN GRAPHITE CORP,187045,2018Q1,16.458,16.957001,.49900001,25.224001,1400,0,US66516A1051,,0
CHINA ZENIX AUTO INTL  -ADR,187073,2018Q1,407.44998,630.15997,220,.022,3714,130.123,US16951E1047,,0
VANECK VECTORS INVST GR FLTG,187079,2018Q1,,,,,6722,,US92189F4862,,0
PARTY CITY HOLDCO INC,187084,2018Q1,-1296.4219,3472.896,2495.5139,1.198,2670,507.82401,US7021491052,,0
GREENFIELDS PETROLEUM CORP,187098,2018Q1,131.315,199.689,68.374001,.18000001,1311,7.046,USG409151036,,0
VOYA EM MKTS HI INCM DIV EQ,187099,2018Q1,,,,,6726,,US92912P1084,,0
ARISTA FINANCIAL CORP,187100,2018Q1,-.54500002,.0049999999,.55000001,.001,9995,0,US0404051023,,0
SHOAL POINT ENERGY LTD,187101,2018Q1,2.984,3.0179999,.034000002,60.377998,1311,0,US82489D2080,,0
SINTANA ENERGY INC,187107,2018Q1,-3.2839999,.30199999,3.586,77.643997,1311,0,US82938H1077,,0
YANDEX N.V.,187118,2018Q1,106670,212905,42580,264,7370,26573,NL0009805522,BMSK1G8,1
YANDEX N.V.,187118,2018Q1,1854.991,3702.418,740.466,4.5910001,7370,462.104,USN972841084,,2
WPX ENERGY INC,187128,2018Q1,4006,8127,4121,4,1311,374,US98212B1035,,0
LSC LITHIUM CORPORATION,187141,2018Q1,133.243,147.855,14.612,137.161,1400,0,US50219G1067,,0
INVESCO EX TR S&P 500 HB ETF,187144,2018Q1,,,,,6722,,US46138E3707,,0
INVESCO S&P 500 LOW VOLATILI,187145,2018Q1,,,,,6722,,US46138E3541,,0
ORCHID ISLAND CAPITAL INC,187148,2018Q1,429.45117,4122.6982,3693.2471,.53100002,6798,-40.115002,US68571X1037,,0
FIRST TR NASDAQ GLOBAL AUTO,187153,2018Q1,,,,,6722,,US33734X3098,,0
ARITZIA INC,187163,2018Q1,86.526016,589.20801,287.62,173.08099,5621,167.011,US04045U1025,,0
HOMESTREET INC,187164,2018Q1,358.29437,6924.0562,6223.0928,.51099998,6036,122.505,US43785V1026,,0
CANNABICS PHARMACEUTICALS,187166,2018Q1,2.4219999,3.062,.63999999,.012,2834,.0020000001,US13764M1009,,0
ISHARES NASDAQ 100 INDX ETF,187172,2018Q1,,,,,6722,,US46431V1035,,0
MOSAIC CAPITAL CORP,187183,2018Q1,-18.75,320.32001,176.07401,35.051998,6799,68,US61945B1052,,0
FANLOGIC INTERACTIVE INC,18720,2018Q1,-.15800001,.403,.34400001,7.697,7370,.017999999,US30712Q1085,,0
VANECK VECTORS EMRG MKT AGGR,187201,2018Q1,,,,,6722,,US92189F4789,,0
FIRST TR MEGA CAP ALPHADEX,187211,2018Q1,,,,,6722,,US33737M5085,,0
GLOBAL EAGLE ENTERTAINMENT,187215,2018Q1,-306.715,954.97101,990.013,.0099999998,7822,156.49699,US37951D1028,,0
TANGO MINING LTD,187216,2018Q1,-.60600001,4.244,4.816,16.063,1221,2.9809999,US87583C1053,,0
GOLDMINING INC,187235,2018Q1,74.416,77.454002,3.0380001,110.939,1040,0,US38149E1010,,0
MIDLAND STATES BANCORP,187236,2018Q1,322.84924,5723.3721,5137.9868,.236,6020,63.110001,US5977421057,,0
KEWEENAW LAND ASSN LTD,18724,2018Q1,20.656998,40.266998,19.610001,.085000001,2400,4.1739998,US4930261080,,0
NEXJ SYSTEMS INC,187244,2018Q1,14.297998,25.018999,8.9680004,82.378998,7372,5.9000001,US65342B1052,,0
HORIZONS ENH INCM FINLS ETF,187245,2018Q1,,,,,6722,,US44050A1043,,0
FCB FINANCIAL HOLDINGS INC,187252,2018Q1,1156.4045,11662.113,10357.971,.048999999,6020,115.78,US30255G1031,,0
REGIONAL MANAGEMENT CORP,187253,2018Q1,238.02905,814.80902,565.85797,1.329,6141,72.625,US75902K1060,,0
TECH LEADERS INCOME ETF,187267,2018Q1,,,,,6726,,US8782581024,,0
JOHN HANCOCK HDGD EQY & INCM,187284,2018Q1,,,,,6726,,US47804L1026,,0
KIRIN HOLDINGS CO LTD,18729,2018Q1,7506.666,21096.178,9520.5654,960.88501,2082,3492.467,US4973503067,,0
NUVEEN SHORT DURATION CREDIT,187290,2018Q1,,,,,6726,,US67074X1072,,0
DIREXION DAILY RUSSIA BU 3X,187298,2018Q1,,,,,6722,,US25490K2731,,0
DIREXION DAILY RUSSIA BE 3X,187299,2018Q1,,,,,6722,,US25460E8286,,0
GLOBAL X FERTILIZERS/POTASH,187303,2018Q1,,,,,6722,,US37950E4998,,0
HORIZONS S&P/TSX CPD ENERGY,18731,2018Q1,,,,,6722,,US44044S1042,,0
LAKELAND FINANCIAL CORP,18732,2018Q1,468.36301,4726.9482,4253.6152,107.86,6020,55.946999,US5116561003,,0
HORIZONS S&P/TSX CPD FINLS,18733,2018Q1,,,,,6722,,US44045S1033,,0
MOJO ORGANICS INC,187348,2018Q1,.336,.40700001,.071000002,.027000001,2086,.35100001,US60841T2024,,0
TRUTANKLESS INC,187350,2018Q1,-1.3060001,1.003,2.2950001,.028999999,3630,.42500001,US89842T1016,,0
SUGARMADE INC,187356,2018Q1,-5.3659997,1.26,6.5409999,.244,5110,1.177,US8650401099,,0
IZEA INC,187357,2018Q1,-1.4559999,12.429,8.7329998,.001,7370,3.8959999,US46603N3017,,0
GROUPON INC,187363,2018Q1,43.501953,1502.928,1152.556,.075000003,7370,626.53998,US3994731079,,0
FIRST ASSET CAN-MATLS COV CL,187367,2018Q1,,,,,6722,,US31863N1265,,0
RMG NETWORKS HOLDING CORP,187375,2018Q1,-.98399878,20.304001,17.268,.001,3577,7.4850001,US74966K3005,,0
SPHERIX INC,18738,2018Q1,5.5130005,10.178,1.425,.001,6794,0,US84842R4039,,0
FIRST ASSET CDN CONV BD ETF,187388,2018Q1,,,,,6722,,US31863V1026,,0
GIBSON ENERGY INC,187392,2018Q1,490.0899,3050.635,2182.0471,1944.0229,5171,1736.619,US3748252067,,0
GLOBAL X SUPERDIVIDEND ETF,187393,2018Q1,,,,,6722,,US37950E5490,,0
DEUTSCHE X-TRKRS MSCI EM MKT,187394,2018Q1,,,,,6722,,US2330511013,,0
DEUTSCHE X-TRKRS MSCI EAFE,187395,2018Q1,,,,,6722,,US2330512003,,0
DEUTSCHE X-TRKRS MSCI BRAZIL,187396,2018Q1,,,,,6722,,US2330513092,,0
DEUTSCHE X-TRKRS MSCI GRMNY,187397,2018Q1,,,,,6722,,US2330514082,,0
DEUTSCHE X-TRKRS MSCI JPN HD,187398,2018Q1,,,,,6722,,US2330515071,,0
NORTHCLIFF RESOURCES LTD,187401,2018Q1,28.774,29.033001,.259,57.728001,1000,0,US66401Q1085,,0
ST AUGUSTINE GOLD & COPPER,187402,2018Q1,135.634,140.89,5.256,166.646,1000,0,USG8448A1037,,0
AMC NETWORKS INC,187406,2018Q1,-678.5719,5113.3672,4631.8901,.74599999,4833,740.823,US00164V1035,,0
LIFELOC TECHNOLOGIES INC,187411,2018Q1,5.7689996,8.3669996,2.424,4.586,3845,2.2019999,US53220Y2072,,0
XUNLEI LTD  -ADS,187413,2018Q1,369.61902,508.73401,111.057,.082999997,7370,78.204002,US98419E1082,,0
IQ US REAL ESTATE SMCAP ETF,187416,2018Q1,,,,,6722,,US45409B6285,,0
ISHARES CONV BOND INDEX ETF,187417,2018Q1,,,,,6722,,US46432K2050,,0
POSTMEDIA NETWORK CANADA CP,187418,2018Q1,-151.37799,403.104,469.06699,810.836,2711,188.99001,US73752W4033,,0
MGM HOLDINGS INC,187422,2018Q1,615.53406,3994.7141,2027.452,.764,7812,271.53201,US55303C1018,,0
MONARQUES GOLD CORP,187423,2018Q1,16.462002,26.669001,10.207,,1000,0,US60918T1016,,0
DIREXION DAILY HEALTHCARE BU,187429,2018Q1,,,,,6722,,US25459Y8764,,0
POWERSHRS 1-5 YR LDRD INV GR,187432,2018Q1,,,,,6722,,US73937H1077,,0
CARBONITE INC,187434,2018Q1,-228.366,456.12399,388.67999,.30500001,7370,64.026001,US1413371055,,0
INVESCO RSLL TP 200 PUR ETF,187439,2018Q1,,,,,6722,,US46137V4317,,0
INVESCO RSL TP 200 PUR,187440,2018Q1,,,,,6722,,US46137V4234,,0
POWERSHARES QQQ INDEX ETF,187443,2018Q1,,,,,6722,,US73938E1038,,0
POWERSHARES CANADIAN DIV IDX,187445,2018Q1,,,,,6722,,US73937G1094,,0
POWERSHARES CANADIAN PFD SHR,187446,2018Q1,,,,,6722,,US73937J1034,,0
PIMCO 0-5 YR HI YLD CORP ETF,187447,2018Q1,,,,,6722,,US72201R7834,,0
ISHARES FLOATING RATE BD ETF,187448,2018Q1,,,,,6722,,US46429B6552,,0
AMERICAN CRYOSTEM CORP,187449,2018Q1,-.87800002,1.4,1.971,.045000002,2836,.53899997,US0253001046,,0
ESSENT GROUP LTD,18745,2018Q1,1995.29,2741.217,745.927,1.472,6351,167.463,USG3198U1028,,0
ENPHASE ENERGY INC,187450,2018Q1,-35.254002,212.118,243.269,.001,3674,69.972,US29355A1079,,0
PURPOSE FLOATING RATE INC FD,187458,2018Q1,,,,,6726,,US74642Q1013,,0
NICKEL CREEK PLATINUM CORP,187461,2018Q1,59.492001,60.848999,1.357,131.858,1090,0,US65389F1003,,0
UBIQUITI NETWORKS INC,187462,2018Q1,560.79498,983.74298,422.53201,.078000002,3663,245.868,US90347A1007,,0
ANCONIA RESOURCES CORP,187463,2018Q1,4.9650002,5.9060001,.94099998,5.914,1000,0,US03333A1097,,0
VOXELJET AG,18748,2018Q1,50.562,83.415001,31.396,4.5830002,3555,6.224,US92912L1070,,0
ADVISORSHARES MADRONA DOMSTC,187480,2018Q1,,,,,6722,,US00768Y8599,,0
ADVISORSHARES MADRONA INTL,187481,2018Q1,,,,,6722,,US00768Y8425,,0
ADVISORSHARES MADRONA GBL BD,187482,2018Q1,,,,,6722,,US00768Y8342,,0
FIDUS INVESTMENT CORP,187483,2018Q1,398.15799,672.41199,274.254,.024,6797,18.233,US3165001070,,0
POWERSHRS FUND HGH YLD CRP,187484,2018Q1,,,,,6722,,US73938D1054,,0
AERIE PHARMACEUTICALS INC,18749,2018Q1,236.271,391.043,154.772,.039999999,2836,0,US00771V1089,,0
IMPERVA INC,187490,2018Q1,298.82001,549.10602,210.845,.003,7372,84.244003,US45321L1008,,0
OAKTREE CAPITAL GROUP LLC,187491,2018Q1,2522.636,9122.7207,6203.7808,0,6282,371.884,US6740012017,,0
CRITEO SA,18750,2018Q1,633.52997,1499.36,535.68903,2.1570001,7311,564.164,US2267181046,,0
STAKEHOLDER GOLD CORP,187517,2018Q1,-.19,.097000003,.287,10.372,1000,0,US85255R2022,,0
ADVISORSHARES MEIDELL TC ADV,187528,2018Q1,,,,,6722,,US00768Y8268,,0
LUPAKA GOLD CORP,187545,2018Q1,11.019,22.615,11.596,59.080002,1040,0,US5504351017,,0
MIDWEST ENERGY EMISSIONS CP,187548,2018Q1,-9.0580006,7.961,13.996,.075999998,3590,2.1210001,US59833H1014,,0
ASPEN AEROGELS INC,187550,2018Q1,94.733002,114.186,19.452999,0,3086,23.073999,US04523Y1055,,0
TRINSEO SA,187551,2018Q1,474.59995,2886.3999,2130.7,.5,2821,1121.6,USL9340P1014,,0
RED EAGLE MINING CORP,187557,2018Q1,93.923004,231.40401,137.481,148.28101,1040,0,US7565662043,,0
TILLY'S INC,187575,2018Q1,163.758,259.866,96.108002,.028999999,5600,123.634,US8868851028,,0
ZYNGA INC,187576,2018Q1,832.24298,1919.011,275.146,.0049999999,7372,208.23199,US98986T1088,,0
FIRST TR CLOUD COMPUTING,187580,2018Q1,,,,,6722,,US33734X1928,,0
QUANTUM COBALT CORP,187583,2018Q1,13.406,14.772,1.3660001,19.59,1040,0,US74766R1095,,0
IF BANCORP INC,187596,2018Q1,84.018944,612.00897,527.26703,.039000001,6035,6.6360002,US44951J1051,,0
INTERNATIONAL LEADERS CAP CO,187627,2018Q1,-.81600004,.028999999,.84500003,.079000004,7997,0,US45975L1098,,0
VANECK VECTORS CEF MUNI INCM,187628,2018Q1,,,,,6722,,US92189F4607,,0
ISHARES SHORT MAT BOND ETF,18763,2018Q1,,,,,6722,,US46431W5076,,0
MERRIMACK PHARMACEUTICALS,187631,2018Q1,79.254005,97.495003,18.240999,1.334,2836,0,US5903282094,,0
SCHWAB US AGGREGATE BOND ETF,187633,2018Q1,,,,,6722,,US8085248396,,0
PROSHARES HEDGE REPLICATION,187636,2018Q1,,,,,6722,,US74347X2945,,0
PYROGENESIS CANADA INC,187648,2018Q1,-3.3970001,8.2729998,11.212,33.856998,3567,2.0610001,US74734T1043,,0
WALKER INNOVATION INC,18765,2018Q1,23.205,23.405001,.2,.021,6794,0,US9316611022,,0
MIDAS GOLD CORP,187650,2018Q1,6.3680038,107.9,101.532,295.73401,1040,0,US59562B1017,,0
ABITIBI ROYALTIES INC,187661,2018Q1,34.026001,38.504002,4.4780002,7.6880002,1000,.075999998,US0036841072,,0
VAL-D'OR MINING CORP,187662,2018Q1,1.178,1.383,.205,3.5009999,1000,0,US91881B1089,,0
INTERNATIONAL PRSPCT VEN LTD,187664,2018Q1,.89999998,.98699999,.086999997,3.3310001,1090,0,US4601961083,,0
YOUNGEVITY INTERNATIONAL INC,187665,2018Q1,-12.836998,78.758003,63.317001,.021,2834,42.993999,US9875372065,,0
THL CREDIT SENIOR LOAN FUND,18767,2018Q1,,,,,6726,,US87244R1032,,0
ACERUS PHARMACEUTICALS CORP,187672,2018Q1,-3.5650005,26.584999,14.375,195.649,2834,2.0929999,US00444G1085,,0
RENNOVA HEALTH INC,187677,2018Q1,-176.036,6.138,182.174,5,8071,1.602,US7597577011,,0
HEALTHCARE TRUST OF AMERICA,187690,2018Q1,2877.9229,6359.835,3041.802,2.052,6798,176.26601,US42225P5017,,0
RENEWABLE ENERGY GROUP INC,187692,2018Q1,732.89093,1407.054,631.54602,.0049999999,2990,689.25201,US75972A3014,,0
DUFF & PHELPS GLOBAL UTILITY,187694,2018Q1,,,,,6726,,US26433C1053,,0
PROTO LABS INC,187696,2018Q1,339.60498,543.909,56.233002,.027000001,3559,107.745,US7437131094,,0
EPAM SYSTEMS INC,187697,2018Q1,845.51099,1343.402,288.05399,.052999999,7372,424.14801,US29414B1044,,0
BONANZA CREEK ENERGY INC,187698,2018Q1,703.21198,872.40698,169.19501,4.2859998,1311,64.193001,US0977934001,,0
SPRAGUE RESOURCES LP,187709,2018Q1,5.2409363,1165.356,976.31403,,5171,1331.1479,US8493431089,,0
CV SCIENCES INC,187711,2018Q1,11.421001,23.054001,5.0180001,.0089999996,2834,8.0710001,US1266541028,,0
WESCO AIRCRAFT HOLDINGS INC,187714,2018Q1,211.18805,1758.286,1105.876,.098999999,5080,363.091,US9508141036,,0
ARGOS THERAPEUTICS INC,187720,2018Q1,-3.1790009,22.164,25.343,.0099999998,2836,5.9330001,US0402212023,,0
ENTEGRA FINANCIAL CORP,187721,2018Q1,121.15098,1625.444,1473.568,0,6036,16.257999,US29363J1088,,0
INTERMOLECULAR INC,187722,2018Q1,33.702999,43.229,7.0409999,.050000001,3674,9.6750002,US45882D1090,,0
VOCERA COMMUNICATIONS INC,187739,2018Q1,66.143005,200.642,72.936996,.0089999996,3663,40.242001,US92857F1075,,0
VALERO ENERGY PARTNERS LP,18774,2018Q1,232.36206,1544.765,1312.403,,4610,131.942,US91914J1025,,0
M/ACOM TECHNOLOGY SOLUTIONS,187740,2018Q1,-150.35797,1581.26,813.45898,.064000003,3674,130.925,US55405Y1001,,0
RESAAS SERVICES INC,187746,2018Q1,1.6930001,3.095,.56599998,30.039,7370,.139,US76083V1017,,0
DREAM GLOBAL REIT,187749,2018Q1,2303.3171,4847.3301,2544.0129,1724.438,6798,92.220001,US26154A1060,,0
COLUMBIA EM QUALITY DIVI ETF,187754,2018Q1,,,,,6722,,US19762B3015,,0
NEW ZEALAND ENERGY CORP,187759,2018Q1,5.4490013,20.488001,15.039,109.739,1311,2.0109999,US6501581085,,0
SENIOR SECURED FLTNG RATE LN,18776,2018Q1,,,,,6726,,US81722V1089,,0
ECOSYNTHETIX INC,187765,2018Q1,74.082001,77.331001,3.2490001,636.62402,2821,7.0219998,US27923D1081,,0
ERA GROUP INC,187766,2018Q1,448.20096,774.60498,325.28601,.219,4522,57.321999,US26885G1094,,0
